Order ID,Order Date,Region,State,Category,Product,Customer,Quantity,Sales,Profit,Profit Margin %
ORD-10001,01-01-2025,East,Jharkhand,Accessories,USB Cable,Customer 087,5,2572.64,400.8,15.58
ORD-10002,02-01-2025,East,Bihar,Accessories,Webcam,Customer 030,3,8989.84,2201.47,24.49
ORD-10003,03-01-2025,South,Karnataka,Electronics,Monitor,Customer 089,1,11295.27,1911.26,16.92
ORD-10004,04-01-2025,North,Haryana,Furniture,Desk,Customer 062,4,45685.07,5462.62,11.96
ORD-10005,05-01-2025,East,Odisha,Electronics,Keyboard,Customer 021,1,1295.9,237.52,18.33
ORD-10006,06-01-2025,North,Haryana,Electronics,Laptop,Customer 090,4,244556.75,35588.1,14.55
ORD-10007,07-01-2025,North,Punjab,Furniture,Table Lamp,Customer 078,4,7189.58,617.2,8.58
ORD-10008,08-01-2025,North,Uttar Pradesh,Electronics,Keyboard,Customer 004,2,2932.64,338.28,11.53
ORD-10009,09-01-2025,South,Telangana,Accessories,Mouse,Customer 014,4,4074.66,945.81,23.21
ORD-10010,10-01-2025,East,Jharkhand,Electronics,Keyboard,Customer 082,1,1707.53,381.75,22.36
ORD-10011,11-01-2025,East,West Bengal,Furniture,Office Chair,Customer 029,4,33027.53,4191.85,12.69
ORD-10012,13-01-2025,East,West Bengal,Electronics,Laptop,Customer 011,1,54576.88,4417.38,8.09
ORD-10013,14-01-2025,East,West Bengal,Furniture,Bookshelf,Customer 041,1,7222.52,1715.14,23.75
ORD-10014,15-01-2025,West,Rajasthan,Accessories,Webcam,Customer 062,2,6150.36,879.74,14.3
ORD-10015,16-01-2025,West,Maharashtra,Furniture,Bookshelf,Customer 078,3,20824.95,2089.39,10.03
ORD-10016,17-01-2025,East,West Bengal,Furniture,Bookshelf,Customer 077,1,7442.39,735.69,9.89
ORD-10017,18-01-2025,East,Bihar,Accessories,Backpack,Customer 023,4,7336.68,1454.41,19.82
ORD-10018,19-01-2025,East,West Bengal,Furniture,Filing Cabinet,Customer 086,4,27188.55,4943.07,18.18
ORD-10019,20-01-2025,West,Gujarat,Furniture,Office Chair,Customer 044,5,44457.53,9630.58,21.66
ORD-10020,21-01-2025,West,Gujarat,Accessories,Mouse,Customer 001,4,3444.8,806.64,23.42
ORD-10021,22-01-2025,North,Haryana,Electronics,Keyboard,Customer 072,5,8311.64,674.75,8.12
ORD-10022,23-01-2025,East,West Bengal,Furniture,Office Chair,Customer 059,3,22339.77,2714.31,12.15
ORD-10023,25-01-2025,South,Andhra Pradesh,Furniture,Office Chair,Customer 052,4,30690.84,7525.48,24.52
ORD-10024,26-01-2025,West,Gujarat,Furniture,Bookshelf,Customer 059,1,6260.98,1562.84,24.96
ORD-10025,27-01-2025,North,Punjab,Furniture,Filing Cabinet,Customer 053,1,6241.83,1221.65,19.57
ORD-10026,28-01-2025,West,Gujarat,Accessories,Webcam,Customer 038,3,10089.41,1222.51,12.12
ORD-10027,29-01-2025,West,Maharashtra,Furniture,Bookshelf,Customer 080,1,6266.51,1042.71,16.64
ORD-10028,30-01-2025,North,Haryana,Furniture,Bookshelf,Customer 019,4,23939.34,3999.21,16.71
ORD-10029,31-01-2025,West,Goa,Electronics,Laptop,Customer 001,1,58156.3,9771.29,16.8
ORD-10030,01-02-2025,East,Jharkhand,Furniture,Desk,Customer 090,2,18547.65,3564.81,19.22
ORD-10031,02-02-2025,West,Maharashtra,Furniture,Office Chair,Customer 069,2,18382.02,4487.44,24.41
ORD-10032,03-02-2025,North,Uttar Pradesh,Furniture,Office Chair,Customer 003,1,7638.1,1553.68,20.34
ORD-10033,04-02-2025,West,Goa,Electronics,Laptop,Customer 038,4,210058.08,22576.39,10.75
ORD-10034,06-02-2025,West,Goa,Furniture,Office Chair,Customer 082,3,27410.38,3515.84,12.83
ORD-10035,07-02-2025,South,Karnataka,Electronics,Monitor,Customer 014,1,10833.33,899.96,8.31
ORD-10036,08-02-2025,North,Uttar Pradesh,Furniture,Bookshelf,Customer 059,1,6596.93,1136.2,17.22
ORD-10037,09-02-2025,East,Odisha,Electronics,Monitor,Customer 098,3,40234.1,7535.59,18.73
ORD-10038,10-02-2025,North,Punjab,Furniture,Office Chair,Customer 004,5,36762.22,6060.73,16.49
ORD-10039,11-02-2025,East,Jharkhand,Furniture,Office Chair,Customer 006,4,36228.4,8773.35,24.22
ORD-10040,12-02-2025,East,Jharkhand,Electronics,Monitor,Customer 060,1,12189.95,2161.15,17.73
ORD-10041,13-02-2025,North,Uttar Pradesh,Electronics,Monitor,Customer 025,1,11340.92,1234.05,10.88
ORD-10042,14-02-2025,South,Tamil Nadu,Accessories,USB Cable,Customer 066,2,1034.5,256.88,24.83
ORD-10043,15-02-2025,East,Bihar,Electronics,Smartphone,Customer 048,1,33138.03,3420.69,10.32
ORD-10044,16-02-2025,East,West Bengal,Electronics,Smartphone,Customer 060,3,83417.59,15345.28,18.4
ORD-10045,18-02-2025,South,Tamil Nadu,Furniture,Filing Cabinet,Customer 016,4,25079.74,4999.25,19.93
ORD-10046,19-02-2025,South,Andhra Pradesh,Accessories,Webcam,Customer 086,2,6147.36,1096.12,17.83
ORD-10047,20-02-2025,East,West Bengal,Electronics,Monitor,Customer 042,2,26594.91,3259.01,12.25
ORD-10048,21-02-2025,South,Tamil Nadu,Electronics,Keyboard,Customer 005,5,7550.05,1592.3,21.09
ORD-10049,22-02-2025,East,Jharkhand,Accessories,Webcam,Customer 013,3,10932.9,2224.14,20.34
ORD-10050,23-02-2025,South,Andhra Pradesh,Furniture,Bookshelf,Customer 058,1,6787.52,1043.23,15.37
ORD-10051,24-02-2025,East,Odisha,Electronics,Monitor,Customer 001,1,12678.6,1139.72,8.99
ORD-10052,25-02-2025,East,Odisha,Electronics,Laptop,Customer 064,5,280194.05,67898.61,24.23
ORD-10053,26-02-2025,East,West Bengal,Furniture,Bookshelf,Customer 086,4,28554.71,3054.49,10.7
ORD-10054,27-02-2025,North,Delhi,Electronics,Monitor,Customer 069,1,11321.09,2790.84,24.65
ORD-10055,28-02-2025,West,Goa,Electronics,Monitor,Customer 023,4,43294.11,6656.68,15.38
ORD-10056,02-03-2025,South,Karnataka,Accessories,Webcam,Customer 019,2,6497.88,536.74,8.26
ORD-10057,03-03-2025,South,Andhra Pradesh,Accessories,Power Bank,Customer 002,5,9887.68,909.63,9.2
ORD-10058,04-03-2025,North,Uttar Pradesh,Furniture,Bookshelf,Customer 033,4,28633.98,4180.24,14.6
ORD-10059,05-03-2025,North,Delhi,Furniture,Filing Cabinet,Customer 074,4,23179.94,5642.05,24.34
ORD-10060,06-03-2025,East,Jharkhand,Electronics,Keyboard,Customer 087,2,2585.07,478.5,18.51
ORD-10061,07-03-2025,North,Punjab,Electronics,Smartphone,Customer 007,2,51418.89,11232.95,21.85
ORD-10062,08-03-2025,West,Gujarat,Furniture,Filing Cabinet,Customer 021,3,20038.35,4107.1,20.5
ORD-10063,09-03-2025,North,Delhi,Furniture,Filing Cabinet,Customer 099,1,6123.34,1089.39,17.79
ORD-10064,10-03-2025,West,Goa,Electronics,Monitor,Customer 089,4,46977.51,9754.79,20.76
ORD-10065,11-03-2025,East,West Bengal,Electronics,Laptop,Customer 059,4,263504.94,35417.29,13.44
ORD-10066,12-03-2025,East,West Bengal,Electronics,Monitor,Customer 028,1,13249.72,1859.38,14.03
ORD-10067,14-03-2025,South,Tamil Nadu,Accessories,USB Cable,Customer 099,2,1039.55,162.41,15.62
ORD-10068,15-03-2025,West,Maharashtra,Furniture,Filing Cabinet,Customer 039,4,27212.6,5791.39,21.28
ORD-10069,16-03-2025,North,Delhi,Furniture,Desk,Customer 075,5,53555.53,9254.7,17.28
ORD-10070,17-03-2025,South,Tamil Nadu,Electronics,Smartphone,Customer 007,2,62127.93,6038.27,9.72
ORD-10071,18-03-2025,South,Telangana,Electronics,Laptop,Customer 029,2,134108.29,14071.02,10.49
ORD-10072,19-03-2025,North,Punjab,Accessories,Power Bank,Customer 071,1,2451.04,294.7,12.02
ORD-10073,20-03-2025,North,Delhi,Accessories,Webcam,Customer 091,3,11373.01,1989.47,17.49
ORD-10074,21-03-2025,South,Karnataka,Electronics,Headphones,Customer 058,5,10667.58,1703.32,15.97
